โยคะ	오카
รบัน	라반
ระณะ	라나
ไรน์	ライン
ระบิ	라비
ปรอน	파론
ปเปน	파펜
โปง	퐁
พิรั	피라
ภินั	피나
เพรซ	페렛
เปรั	페라
เปเป	페페
เผง	烹
เพคะ	페카
ปะทะ	파타
ไพน์	파인
ปัช	パチ
โอภา	파차
โอนเอน	호넨
นวัย	놔야
นุกิ	ぬき
นอร์อะ	노라
โนล์ด	놀다
นเคล	인켈
นิกซ์	νίκος
นิกิ	니키
นิดั	니다
งอัน	인간
งอัล	나갈
เนิล	네일
นั่ง	낭
มุนด์	문도
มรอน	메론
โมนต์	몬타
โมโน	もの
โมโล	魔羅
โมฆะ	모카
มม์อัล	암말
มิเน	みね
เมโธ	머토
เมกะ	메카
มะระ	마라
มะลิ	馬利
ไมด์	마이도
ลปิน	알핀
ลมัน	일만
ลคิน	엘킨
ลินส	林寺
ลิ้ง	玲
ลิเน	＿
ลิบั	禮拜
ลบิน	엘빈
ลั้ง	朗
กุระ	쿠라
กุระ	쿠라
ออกทุน	焜
คุโณ	쿠노
คุมั	쿠마
คุมั	쿠마
โกร๋น	코란
โคนั	コナ
โคมั	こま
โคโล	콜로
โกฬิ	콜이
คมัน	쿠만
กิ้ง	킹
คิเน	키네
คิขุ	키쿠
กิโฆ	키코
คิเค	키케
เกรซ	κέρας
เคร็	케로
เคเน	켄에
เคเค	科克
กะวะ	카와
กันย์	堪輿
กะดะ	카다
หุหุ	후후
หนัน	후난
หมั้น	후만
หลิน	虎林
หิริ	히리
เหิม	헤임
ไฮน์	하인
โฟโต้	フォト
เอลเด	엘데
ดริน	데린
ดรัน	두란
โดเน	도네
โดคิ	도키
ดมิน	도민
ดิเน	디네
เดร็	데로
เด้นส์	덴시
เดนั	데나
เดเด	데데
ไดร์	다이로
ชุส	出す
ชุส	出す
ชนะ	出納
จิล	池里
ฉี	赤い
เจน	沉
อชัน	諂
แช่	치하에
บุช	ぶち
บรัส	보랏
บอร์น	보론
โบกิ	보코이
โบกั	보카
บลัท	오바타
บลัท	오바타
เบอซ็	베소
เบรต	오베라
เบรต	오베라
เบเร	베레
เบ๋ง	琫
เบิด	北狄
ไบร์	바이라
ไบด์	바이두
โอะงิ	오한이
ยุ้นต์	雲梯
ยุ้ง	융
โยธะ	요타
โยง	慵
โยคะ	요카
ยมัน	野蠻
เยเร	野人
เยเร	野人
เยนิ	예니
เยิน	예인
ญัติ	야타이
ญัง	央
ยะกิ	야키
นเนท	눈에
อุณา	우나라
โตเน	토네
โธโล	톨도
ทินิ	티니
โซโล่	솔로
โอเวอร์	오웨리
นตฺถิ	노티
โอโซน	오손
นอร์อะ	오리라
โอนเอน	호넨
ออลเด	올드
โนบล	놀아
ครั้น	카란
โกศิ	코시
โกฬิ	콜이
อิตัล	이탈
คณิสส	있
อิศา	이사와
อินทุ	인투
อิมัล	이말
อิไม	이마이
อิไล	依賴
อีโล	이일로
หุ่ง	훙
ฮันฮ	漢和
ฮั้ง	杭
แนล	낼
นุ่ง	응
นเรน	에렌
เนง	能
เนลล์	네일
เนเล	베일에
เนิบ	內部
เอเดน	에덴
เนเบ	네벤
เนรัล	네살
ดุง	둥
โด่ง	动
โดโล	돌고
ดิกุ	디크
ดิดอิ	디디
เดเร	데레
เดนิ	덴이
เดอเล	地雷
เดดิ	地底
โนเน	노네
อัตถะ	たった
นทัค	아타코
อัศวั	아사와
นัสอะ	暗殺
แนร์	아세라
ะเรน	아렌
อะไร	아라이
น้ำพุ	南浦
อันนะ	안나
นมอน	내몬
นัมม	남미
อะมัล	아말
นาศ	나자
ไอเค	아이케
อะเดล	아델
อะดัม	아담
อะเบล	아벨
อาระ	아라라
าณะ	아타나
อาดิ	아바디
อาดั	아다다
าบะ	아사바
ยุ้ง	융
โยเร	요로에
โยง	慵
ยไล	依賴
เยนิ	예니
เยช	夜叉
เวรุ	웨루
เวร็	웰로
เวรั	웨라
เวเน	웨인에
เวฬุ	文禄
มุทุ	무투파
อุแท	우태
อุไร	우라이
มุมเท	미움에
มกุฏ	무쿠
อุชุ	御厨
เถระ	테라
โซโล่	솔로
ศิริ	시리
อริยะ	리야
โพโล	폴로
ปิก๊ะ	피카
โอโซน	오손
ออร์เน	모로네
ออร์เน	모로네
โมเน	オンジェ
โมนด์	몬디
ออลเด	올드
โมหะ	오한
นอง	儂
เมษิ	메시
ลิเก	理科
ลัมะ	喇嘛
ลับั้	喇叭
กะปะ	카파
อิทัส	이타시
อิศริ	이소리
อิสระ	이세라
อิเนะ	리네아
อิมัส	입맛
มิดิ	미디
อิลเด	힐데
มลัน	일안
อิลัม	일람
อิเคะ	이케아
มิเน	みね
อีเค	미이케
อีกั	이치카
อิเดะ	이데아
มงเบ	막부에
มุนด์	문도
เใน	에나의
เอลเด	엘데
เมโย	메이요
มินต์	메인
เมกิ	메이에키
เมเด	메레
เอเดน	에덴
เมเล	메달에
ดินั	디나
ดั้ง	盪
บุกิ	歩き
บิคิ	비키
บั่ง	幫
บะบะ	바바
มุทุ	마푸투
มะระ	아우라
มะฆะ	아티카
มัติ	마티치
อัศวั	아사와
อะไร	아라이
อันเต	안테
มันส์	안소
ะงิ	안기
อำเภอ	암프
อะมัล	아말
อะไม	아마이
มะลิ	알의
อัลทิ	알티
ไมท์	馬利
อัลเด	알더
อักษะ	아카사
อัคริ	아카리
ไอพ็	마이포
ไอคิ	아이키
ไอเค	아이케
ม้าม	아함
แอดิ	애디
แอดั	내다
มะระ	마라
อะเบล	아벨
อายั	알아야
าธิ	パーティ
าณิ	아앙이
อ่าง	아앙
าเน	아야네
อาดิ	아바디
โยนั	요나
ยมัน	野蠻
อุชุ	御厨
ออิง	고잉
โลกั	▀
ลุจ	露出
โลร็	엘오로
ล็ง	隆
ลิตั	利他
ลิดิ	利敵
เล็น	λέων
ไลน	알아인
ลุ้ง	중
ลิพพ์	いっぱい
อิพิส	위핏
ลิมปิ	이미
อิมัส	입맛
อิมัล	이말
เลธอน	에토
เลเซอ	에센
เลวั	에리와
เลเป็	알레포
เอ็ง	엉
เอินซ์	에인세
เอเดน	에덴
ลับั้	喇叭
อัตถะ	たった
อะธี	아티키
อันธิ	안티
อัณฑะ	あんた
อันนะ	안나
และ	안에다
อัมพิ	참피
ลมี	아미리
ะแม	아매
อะลัม	알참
อักโข	아카코
อัคคิ	아카키
ไลต์	瀬戸
ไลต์	아이테
ไอบะ	아이바
แอง	앵
านซ์	蘭斯
ยุ้ง	융
ยมิน	逸民
ยลิน	藝林
ญัง	央
โว้ง	웡
เวสิ	웨시
เวิส	웨이시
วัง	網
ไวต์	ولایت
ว่าน่	와한
อุแว้	우화에
อูมั	후우마
คตัส	쿠타
ครู่	쿠루루
กุระ	쿠라라
คึล	쿠엘
คิริ	우이리
อุชุ	御厨
กุระ	우바라
คุณั	쿠바나
ตะบะ	타바
ซิบั	시바
รอยัล	리얄
กรวิก	뤼
ร็สต์	롯타
โรมั	로마
ริษฐ์	릿토
ริสซ์	리씨
อรินั	린아
กริล	릴라
ริกั	りか
เรเธ	레테
เรทั	레타
อเร็น	レオン
เรนส์	렌시
เรนน์	레논
เริน	레인
เริล	레일
เรดิ	レディ
รอันท์	란타
อรัง	让
รอัมพ์	람파
ระเค	라크
ไรน์	ライン
ไรด์	라이디
ราอิ	라카이
โปง	퐁
โคตร	오타루
โกเร	코레
กริน	쿠린
โอนเอน	호넨
โกมุท	콤
คมัล	어말
ออลเด	올드
นอจ	のち
เนสส์	네삿
เนิบ	內部
น่าน‎	南岸
โมจ	もち
เมเล	멜레
มะระ	마라
มัช	馬出
ลุจ	露出
ลิดิ	利敵
ลิช	立ち
เล็น	λέων
ลัมะ	喇嘛
ไลน	알아인
แลส	올앳
อิต้า	キター
อิสระ	이세라
อิศา	이사와
อิลัม	일람
คิดิ	키디
กิจ	きち
หยัน	和彦
โหสถ	홋타
โฮลซ์	홀시
โหลด	홀도
หนุ่ม	하눔
หมุน	후문
หิริ	히리
เหติ	合體
เห้ง	衡
เฮิน	헤인
เหิม	헤임
เฮิล	헤일
ฮันฮ	漢和
ไหร	孩兒
ไหม่	하임
ห่าน	하안
เอ็ง	엉
เขนง	케넨
เกณท์	켄토
เใน	에나의
ขึัน	可汗
เคนั	카나
ไคต์	카티
แคร่	카트리
คอะซุ	法術
กริม่	아림
ะเรน	아렌
อันธิ	안티
อันเต	안테
อัมพิ	참피
อำเภอ	암프
อะไม	아마이
อัลญะ	알아야
กัลล์	칼타
สกัลด์	칼디
อัลเบ	할베
อัคคิ	아카키
ไอพ็	마이포
ไอน์ส	아이넷
ไอคิ	아이키
ไอบะ	아이바
แอดิ	애디
แอดั	내다
อ่าง	아앙
อาลิ	바알이
เวเล	웰에
อุไร	우라이
เทสท์	텟타
เรเร	레이레
โอสึ	도수에
โอเพ่น	오펜
ฮั้ง	杭
เอ็ง	엉
เอ็ง	엉
เบิล	베일
ไบล์	바일
อัตถะ	たった
ะเรน	아렌
ะเระ	아레아
อะไร	아라이
อัณฑะ	あんた
อันนะ	안나
ะงิ	안기
อะมัล	아말
อะไม	아마이
อะลัม	알참
อัลอะห์	잘나
อักโข	아카코
อัคคิ	아카키
ไอบะ	아이바
อะเบล	아벨
าเน	아야네
ยมัน	野蠻
ยะซุ	やす
ญัง	央
เวิ่น	웨인
วัง	網
วะกิ	와키
อุแท	우태
ตรอน	티론
โตเน	토네
ทกิน	타킨
ต์ฮัน	토한
เถระ	테라
เทนส์	텐시
ตจะ	體察
ฐัติ	타티
ทะเล	탈세
ตะละ	탈파
ธาล	타알
ซุซุ	수수
สุมะ	すま
ซุบุ	수부
สต๊อค	잇토쿠
สต๊อค	잇토쿠
สสัย	싸야
สสัส	씨앗
สปิน	이신
ซ้อง	誦
โซเน	소네
โซนั	소나
โซมั	소마
ซอลท์	솔티
โซโก้	そこ
สเนส	소넷
สนัน	수난
ซมัน	소만
สไม	소마이
สลิป	솔잎
สลิน	살인
สลัน	실안
สกัน	세칸
สินะ	신아
สหัน	埏
อส์ไฮ	篩
เซทท์	セット
เศษิ	세시
เซลั	셀카
ซดัล	세달
ศะศิ	사시
สั่ง	桑
ศัลย	살의
ไซซ์	사잇
ไซร์	사이로
ศาณ	사안
อร์พิน	루핀
รอนั	로나
รนัน	汝南
รมิส	리밋
อร์มัส	라맛
ริเย	리예
ริ้ง	링
อรินั	린아
ริมั	리마
ริเด	리드
ริเด	리드
ริเบ	리베
เรเร	일레르
เรนส์	렌시
เรเน	렌에
รดิน	레딘
รบิส	레빗
ระยะ	라야
หิรัณ	染
ระณะ	라나
อิรัก	이라크
ระดะ	라다
ระบุ	ラブ
รานฺ	라판
ปุปะ	푸파
ปเปน	파펜
พิง	評
เปรุ	페루
นทัน	泥炭
โนกิ	노키
นนัน	南岸
นนัน	南岸
นมัน	노만
นเคล	인켈
นิกิ	니키
งกั๋	잉카
งอิน	안긴
งอัน	인간
ง้ำ	인감
เนทท์	ネット
เนตั้	네타
เนเค	네크
นเด็	노더
ณัติ	나티
นัสอะ	나사
นอะกิ	나키
นาม่	나암
มูน	무운
มรอน	메론
มิกิ	미키
เม็น	먼
เมดิ	메디
มะซุ	ます
มะระ	마라
มันส์	만시
มะคิ	マキ
มาฬ	마알
ลคิน	엘킨
ลิช	立ち
เลเล่	일들에
ลั้ง	朗
กวั้น	콴
กุศะ	쿠사
คุโณ	쿠노
คุมั	쿠마
กรัม	키람
กอนส์	코넷
โคเน	콘에
โคมั	こま
โกฬิ	콜이
คนัล	카날
กอิเร	키레
คิดิ	키디
เคยั	케샤
เคเล	미켈에
เคดั	케다
กะวะ	카와
ฑิฆัม	캄
กะดะ	카다
ไฮอะ	하이카
ฝั้ง	訪
ดรอน	다론
ดริล	데릴
ดอนิ	돈이
โดมั	도마
ดมอน	다몬
ดมัน	도만
ดินั	디나
เด็น	던
ดั้ง	盪
ไดั	다이아
ฉุด	處得
ชมะ	車馬
จิ่ญ	ちよ
ชิ่ม	赤木
เชล	車路
ชัร	挿入
